CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 1 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 560 (division inferred from opponents for 174, marked ~) | skipped (no division): 18


━━━ HEAVYWEIGHT ━━━  (39 ranked)
70. Jackson McVey                11.67  [10/16n 12/12n 13/14P]  last 2026-04-25
71. Baisangur Susurkaev          13.00  [13/14P 13/14P]  last 2026-05-09
72. Wes Schultz                  13.00  [12/14n 14/14n]  last 2026-05-02

━━━ WELTERWEIGHT ━━━  (62 ranked)
 1. Islam Makhachev               1.00  [1/14P 1/13P 1/12P]  last 2025-11-15
 2. Jack Della Maddalena          1.00  [1/14n 1/14P 1/12P]  last 2026-05-02
 3. Gilbert Burns                 1.00  [1/14n 1/11n 1/12n]  last 2026-04-18
 4. Belal Muhammad                1.33  [1/16n 2/14n 1/12P]  last 2026-06-06
 5. Gabriel Bonfim                1.33  [1/16n 1/12n 2/12n]  last 2026-06-06
 6. Ian Garry ~                   1.67  [2/14n 1/14n 2/14o]  last 2025-11-22
 7. Leon Edwards ~                2.00  [4/14P 1/13n 1/14P]  last 2025-11-15
 8. Joaquin Buckley               2.00  [4/14P 1/16n 1/13n]  last 2026-05-09
 9. Santiagio Ponzinibbio ~       2.33  [3/12n 2/14n 2/12n]  last 2025-05-03
10. Sean Brady                    2.67  [4/14P 1/16n 3/14P]  last 2026-05-09
11. Carlos Prates                 2.67  [1/14n 4/14P 3/12P]  last 2026-05-02
12. Mike Malott                   3.00  [1/14n 2/13n 6/12P]  last 2026-04-18
13. Michael Morales ~             3.00  [3/14P 1/11n 5/11n]  last 2025-11-15
14. Michael Page                  3.00  [3/15n 4/12P 2/11n]  last 2026-03-21
15. Carlston Harris               3.00  [5/16n 2/14n 2/12n]  last 2026-05-30
16. Stephen Thompson ~            3.67  [2/12n 6/12P 3/12P]  last 2025-07-12
17. Daniel Rodriguez              3.67  [3/14P 3/12n 5/12n]  last 2025-07-19
18. Geoff Neal                    4.00  [2/14n 3/12P 7/13P]  last 2026-02-22
19. Kevin Holland                 4.00  [7/12P 2/13n 3/14P]  last 2026-04-11
20. Randy Brown                   4.33  [7/12P 1/12n 5/14n]  last 2026-04-11
21. Jake Matthews                 4.67  [5/16n 5/16n 4/12n]  last 2026-05-30
22. Elizeu Zaleski dos Santos ~   4.67  [5/12n 2/13n 7/11n]  last 2025-08-02
23. Uros Medic                    5.00  [2/14n 3/12n 10/12n]  last 2026-02-22
24. Muslim Salikhov               5.00  [5/16n 3/12n 7/12n]  last 2026-05-30
25. Chidi Njokuani                5.67  [7/14n 8/12n 2/13n]  last 2026-02-22
26. Neil Magny ~                  5.67  [8/12n 4/12n 5/12n]  last 2025-12-13
27. Ange Loosa ~                  6.00  [12/13n 4/12n 2/13n]  last 2025-06-14
28. Chris Curtis                  6.00  [7/14n 7/12n 4/14n]  last 2026-03-14
29. Sam Patterson                 6.00  [3/15n 10/13n 5/10n]  last 2026-03-21
30. Danny Barlow ~                6.00  [10/13n 5/10n 3/10n]  last 2025-10-18
31. Joel Alvarez                  6.33  [8/14P 3/12n 8/13n]  last 2026-05-09
32. Charlie Radtke ~              6.33  [5/13n 6/12P 8/11n]  last 2025-11-01
33. Nicolas Dalby                 6.67  [7/16n 8/14n 5/14n]  last 2026-05-16
34. Alex Morono ~                 6.67  [7/13n 8/10P 5/12n]  last 2026-02-07
35. Jeremiah Wells                7.00  [7/16n 3/13n 11/14n]  last 2026-05-16
36. Kevin Jousset ~               7.00  [11/12P 4/14n 6/11n]  last 2025-02-08
37. Niko Price                    7.00  [3/16n 8/13n 10/11P]  last 2026-03-28
38. Carlos Leal                   7.33  [7/14n 7/12n 8/10P]  last 2026-02-22
39. Themba Gorimbo                7.67  [13/14n 3/13n 7/14o]  last 2026-05-02
40. Michael Chiesa                7.67  [3/16n 8/13n 12/14o]  last 2026-03-28
41. Yaroslav Amosov               8.00  [8/14P 8/12n]  last 2026-05-09
42. Francisco Prado               8.33  [12/12P 8/14P 5/12P]  last 2026-04-11
43. Nikolay Veretennikov          8.33  [7/16n 8/13n 10/14P]  last 2026-05-16
44. Khaos Williams                8.33  [7/16n 9/13P 9/12n]  last 2026-05-16
45. Jacobe Smith                  8.33  [5/14n 10/11P 10/14n]  last 2026-02-22
46. Jose Souza                    8.50  [9/16n 8/16n]  last 2026-05-30
47. Kiefer Crosbie ~              8.50  [5/12n 12/14P]  last 2025-08-23
48. Ramiz Brahimaj                8.67  [11/14n 13/14P 2/9n]  last 2026-02-22
