CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 0.6 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 615 (division inferred from opponents for 214, marked ~) | skipped (no division): 24


━━━ HEAVYWEIGHT ━━━  (42 ranked)
29. Michael Chiesa                6.18  [3/16n 8/13n 12/14o]  last 2026-03-28
30. Neil Magny ~                  6.22  [8/12n 4/12n 5/12n]  last 2025-12-13
31. Chidi Njokuani                6.39  [7/14n 8/12n 2/13n]  last 2026-02-22
32. Chris Curtis                  6.45  [7/14n 7/12n 4/14n]  last 2026-03-14
33. Joel Alvarez                  6.47  [8/14P 3/12n 8/13n]  last 2026-05-09
34. Jeremiah Wells                6.51  [7/16n 3/13n 11/14n]  last 2026-05-16
35. Aalon Cruz ~                  6.82  [1/1o 14/15P 11/12n]  last 2025-01-04
36. Nicolas Dalby                 6.94  [7/16n 8/14n 5/14n]  last 2026-05-16
37. Alex Morono ~                 6.94  [7/13n 8/10P 5/12n]  last 2026-02-07
38. Carlos Leal                   7.18  [7/14n 7/12n 8/10P]  last 2026-02-22
39. Danny Barlow ~                7.18  [10/13n 5/10n 3/10n]  last 2025-10-18
40. Jacobe Smith                  7.45  [5/14n 10/11P 10/14n]  last 2026-02-22
41. Kiefer Crosbie ~              7.62  [5/12n 12/14P]  last 2025-08-23
42. Ange Loosa ~                  7.71  [12/13n 4/12n 2/13n]  last 2025-06-14
43. Nikolay Veretennikov          7.86  [7/16n 8/13n 10/14P]  last 2026-05-16
44. Kevin Jousset ~               7.94  [11/12P 4/14n 6/11n]  last 2025-02-08
45. Khaos Williams                7.98  [7/16n 9/13P 9/12n]  last 2026-05-16
46. Yaroslav Amosov               8.00  [8/14P 8/12n]  last 2026-05-09
47. Jose Souza                    8.63  [9/16n 8/16n]  last 2026-05-30
48. Oban Elliott                  8.76  [9/13P 7/12n 11/12P]  last 2026-01-31
49. Themba Gorimbo                8.84  [13/14n 3/13n 7/14o]  last 2026-05-02
50. Court McGee ~                 8.86  [8/13n 12/12P 6/12n]  last 2025-06-14
51. Preston Parsons ~             9.27  [10/14n 10/14P 6/11n]  last 2025-01-11
52. Trey Waters ~                 9.27  [10/13n 10/12n 6/11n]  last 2025-09-06
53. Francisco Prado               9.49  [12/12P 8/14P 5/12P]  last 2026-04-11
54. Daniil Donchenko              9.63  [7/13n 14/14n]  last 2026-02-07
55. Punahele Soriano              9.78  [11/14n 10/14P 6/14n]  last 2026-02-22
56. Adam Fugitt ~                 9.78  [11/11P 10/14P 6/11n]  last 2026-01-24
57. Ramiz Brahimaj                9.96  [11/14n 13/14P 2/9n]  last 2026-02-22
58. Ko Seok-hyun ~               10.12  [12/13n 7/12n]  last 2025-11-01
59. Charles Radtke               10.50  [12/12P 8/16n]  last 2026-04-11
60. Andreas Gustafsson           10.87  [12/13n 9/13P]  last 2025-09-06
61. Jonathan Micallef            11.41  [13/14n 9/13P 11/12P]  last 2026-05-02
62. Philip Rowe ~                11.45  [12/13n 12/13n 9/12P]  last 2025-11-01
63. Rinat Fakhretdinov ~         11.57  [12/13n 13/13P 8/11n]  last 2025-09-06
64. Austin Vanderford ~          11.88  [13/14P 10/12n]  last 2025-10-04
65. Max Griffin                  12.00  [15/16n 7/12n 12/14o]  last 2026-04-25

━━━ LIGHTWEIGHT ━━━  (92 ranked)
 1. Max Holloway                  1.00  [1/16P 1/14P 1/13P]  last 2026-03-07
 2. Charles Oliveira              1.00  [1/16P 1/12n 1/11P]  last 2026-03-07
 3. Ilia Topuria                  1.00  [1/7o 1/11P 1/13P]  last 2026-06-14
 4. Dustin Poirier ~              1.18  [1/14P 1/12P 2/14P]  last 2025-07-19
 5. Justin Gaethje                1.18  [1/7o 1/11P 2/10P]  last 2026-06-14
 6. Paddy Pimblett                1.67  [1/11P 2/13P 3/14P]  last 2026-01-24
 7. Dan Hooker ~                  1.88  [2/13P 1/14n 3/12P]  last 2026-01-31
 8. Arman Tsarukyan ~             1.92  [1/14n 4/13P 1/12n]  last 2025-11-22
 9. Renato Moicano                2.16  [1/16n 3/16P 4/11P]  last 2026-04-04
10. Rafael Fiziev                 2.51  [3/13P 2/12n 2/10P]  last 2026-01-31
11. Brian Ortega                  2.69  [3/16P 2/12n 3/10P]  last 2026-03-07
12. Benoit St. Denis ~            2.92  [2/13P 5/14P 2/13n]  last 2026-01-31
13. Chris Duncan                  3.02  [1/16n 7/14P 2/12n]  last 2026-04-04
14. Beneil Dariush                3.29  [2/14n 5/14P 4/11P]  last 2026-05-02
15. Michael Chandler              3.53  [5/7o 2/13P 2/12P]  last 2026-06-14
16. Quillan Salkilld              3.65  [2/14n 5/13P 6/13P]  last 2026-05-02
17. Daniel Zellhuber              3.80  [3/14n 5/14P 4/10P]  last 2026-02-28
18. Mauricio Ruffy                3.84  [5/7o 3/13P 2/13n]  last 2026-06-14
19. King Green                    4.25  [5/14P 3/14n]  last 2026-05-09
20. Manuel Torres                 4.27  [2/12n 7/10P 6/13n]  last 2025-03-29
21. Tom Nolan                     4.35  [3/16n 5/12n 7/12P]  last 2026-06-06
22. Tofiq Musayev                 4.41  [3/16n 7/16n 4/12n]  last 2026-04-04
23. Mateusz Gamrot                4.57  [8/12P 1/12n 1/9n]  last 2026-04-11
24. Ignacio Bahamondes            4.73  [7/16n 2/12n 3/10P]  last 2026-03-28
25. Myktybek Orolbai Uulu ~       4.73  [4/14n 4/12n 8/13P]  last 2025-11-22
26. Rafa Garcia                   4.80  [4/16n 3/14n 10/12n]  last 2026-04-25
27. Elves Brenner ~               4.84  [3/12n 6/13n 8/13P]  last 2025-08-02
28. Jeremy Stephens               4.94  [5/14P 6/12n 3/10n]  last 2026-05-09
29. Drew Dober                    5.06  [5/16P 7/13n 2/12n]  last 2026-03-07
30. Nasrat Haqparast ~            5.08  [6/13P 3/10n 6/11n]  last 2025-10-25
31. Bobby Green ~                 5.14  [6/12n 5/10P 3/14P]  last 2025-12-13
32. Fares Ziam                    5.20  [3/16n 9/14P 5/11n]  last 2026-06-06
33. Alexander Hernandez           5.22  [4/16n 5/14n 9/12P]  last 2026-04-25
34. Michael Johnson               5.37  [5/16P 5/14P 7/13n]  last 2026-03-07
35. Kyle Nelson                   5.45  [6/16n 6/13n 3/12n]  last 2026-03-28
36. Ismael Bonfim                 5.47  [4/12n 4/12n 12/13P]  last 2025-11-08
37. Esteban Ribovics              5.55  [8/12P 3/12n 3/10n]  last 2026-04-11
38. Matt Frevola ~                5.63  [6/13n 6/14n 4/13P]  last 2025-10-18
39. Gauge Young                   5.86  [5/14n 6/12n 8/14n]  last 2026-04-18
40. Jai Herbert                   5.88  [3/14n 7/13n 12/13n]  last 2026-04-18
41. Mason Jones                   5.90  [7/15n 4/13n 6/12n]  last 2026-03-21
42. Charlie Campbell ~            5.92  [5/12n 5/12n 10/11n]  last 2025-09-27
43. Carlos Diego Ferreira ~       6.04  [5/14n 9/13P 4/12n]  last 2025-09-13
44. Ludovit Klein                 6.04  [8/13P 1/9n 9/14n]  last 2025-10-25
45. Thiago Moises                 6.04  [5/14n 6/11n 9/14n]  last 2026-04-18
46. Rhys McKee ~                  6.10  [5/13n 8/12n 6/14n]  last 2025-09-06
47. Axel Sola                     6.25  [7/15n 5/13n]  last 2026-03-21
48. Jamie Mullarkey ~             6.84  [5/13P 8/12n 10/13P]  last 2026-01-31
49. Terrance McKinney             6.86  [6/16n 7/14P 9/11P]  last 2026-03-28
50. Nazim Sadykhov                6.86  [9/14P 5/12n 4/12n]  last 2025-12-06
51. Jordan Vucenic ~              6.88  [5/13n 10/13n]  last 2025-03-22
52. Gabriel Green ~               6.90  [5/11n 10/11n 7/12P]  last 2025-05-17
53. Jared Gordon                  7.12  [10/14P 3/14n 6/11n]  last 2026-05-09
54. Kyle Prepolec ~               7.31  [7/13n 5/12P 12/12n]  last 2025-10-18
55. Mateusz Rebecki               7.41  [9/14P 8/13P 2/12n]  last 2026-05-09
56. Chris Padilla                 7.61  [10/12P 4/12n 7/13n]  last 2026-04-11
57. Bolaji Oki                    7.80  [10/14n 4/13n 8/9n]  last 2026-03-14
58. Claudio Puelles ~             8.06  [8/14n 10/13n 5/14P]  last 2025-09-13
59. Grant Dawson                  8.08  [9/14P 6/14P 9/13P]  last 2026-05-09
60. Rong Zhu ~                    8.24  [8/12n 10/12P 6/12n]  last 2025-08-23
61. Chase Hooper                  8.31  [8/16n 9/12P 8/13P]  last 2026-03-28
62. Jalin Turner ~                8.37  [11/14P 3/10P 10/13P]  last 2025-12-06
63. Nikolas Motta ~               8.37  [5/12n 13/13n 10/11n]  last 2025-06-21
64. Mike Davis ~                  8.43  [11/12n 5/11n 7/13n]  last 2025-07-12
65. Timothy Cuamba ~              8.61  [8/13n 13/14n 3/11n]  last 2025-11-01
66. AJ Cunningham ~               8.75  [8/13n 10/11n]  last 2025-03-15
67. Jim Miller                    8.84  [10/14P 8/13P 7/12P]  last 2026-05-09
